AUS,BRA,CHN,DEU,IND,ZAF,USA
0.0,0.0003531682611416,0.0,0.0,1.7472460969408214e-10,4.842871030378475e-09,5.3633711448492286e-24
0.003839163031544,0.0007129752507611,0.0,0.0,3.58132935753523e-10,9.804919622892793e-09,0.0
0.0080853359144066,0.0010912467811384,0.0,0.0,5.749868943255612e-10,1.5426667055670926e-08,0.0
0.0128526147768549,0.0430476862754414,0.0005589576859256,0.0,0.0105903164482744,0.0283858603178978,0.0
0.0960403121444147,0.0889578989604274,0.0012041094704997,0.0,0.0231850318781494,0.0594728775016161,0.0067949439920717
0.1915569445934117,0.1586295081210353,0.0019800645793391,0.0058928545910095,0.0385473972659831,0.1161861589503609,0.014639914805697
0.2947507199307541,0.2671674637157963,0.0425438272123062,0.0120836334097184,0.1623034695049083,0.259292481676616,0.0251058315765098
0.4100268632875419,0.3579283157366427,0.1023069583584544,0.0225580882622677,0.3050711799629427,0.3735666141896623,0.0963528331067868
0.5053081083762931,0.4391835550265212,0.1597316039073303,0.0727395542102522,0.408736824308905,0.473044547140158,0.1691318937716875
0.5886951723830679,0.4510129246266651,0.2476915510070803,0.1196487285202532,0.4380706359109057,0.5100399522313864,0.2359345850572144
0.5788908282156299,0.4631663089086867,0.3276265619034263,0.16498649136389,0.4670059438595724,0.54549460581974,0.2564568476040711
0.5703555525308069,0.4757476969923769,0.4012546919799004,0.1488866523669973,0.4962337949525942,0.5802974215941068,0.2766093929520582
0.5633370187211287,0.3949391154228838,0.3621433353157279,0.133131155860516,0.4104187732880092,0.5257174121567018,0.2967266235188645
0.4804920950999289,0.3097386694802303,0.3237426466298098,0.1177546388427073,0.3216932928604902,0.469539227102099,0.2313866849765571
0.3915024557238156,0.2184742102319438,0.2856248074330583,0.0798730795438768,0.2284754457680401,0.4113651512681358,0.164647086562286
0.2945296075116241,0.1545741591461148,0.2066900186604403,0.0410842417174769,0.1586818887669646,0.3177785393078954,0.095531798444445
0.2147934026375245,0.0859040646318903,0.124525927059481,0.0009815499440218,0.0835486359271908,0.2152051662419731,0.0653312345140831
0.1261933000966175,0.0109921110472703,0.0378694214444593,0.000662396620927,0.0018750859288568,0.1011516750929948,0.0337727118469802
0.0271538761627251,0.0071467325123981,0.0257374562150116,0.0002826640168428,0.0011025893975502,0.069695650776209,0.0009784183393512
0.018373188339107,0.0031130396724418,0.0129051862755685,0.0,0.0004313590060616,0.0356665943290393,0.0006594751254371
0.0086457109777714,4.264048843505672e-22,4.697070387343886e-21,0.0,1.1567514543801229e-21,1.1701388993423098e-19,0.0002904467386969
1.2887110658805541e-20,0.0,0.0,0.0,0.0,0.0,1.1144267297625862e-05
0.0,0.0,0.0,0.0,0.0,0.0,6.273492795645451e-06
0.0,0.0,0.0,0.0,0.0,0.0,2.8965412426967727e-06
0.0,0.0003604865111335,0.0,0.0,1.7964108173979954e-10,1.9815710234832474e-09,1.401424181943526e-24
0.0032659580936366,0.0007360958074041,0.0,0.0,3.681951267041425e-10,3.999183857530787e-09,0.0
0.0068366729583688,0.0011433829001094,0.0,0.0,5.911886354643634e-10,6.233897598798575e-09,0.0
0.0108225219714758,0.0453310506096877,0.0005721544291868,0.0,0.0116846705785272,0.0290070928835242,0.0
0.0936002464655824,0.0950599973501072,0.0012229608184491,0.0,0.0256269431673471,0.0611559083651892,0.0059974714061339
0.1946744507013507,0.1715667456124688,0.0019775433358787,0.0076121760562459,0.0424982999713081,0.1201091653036979,0.012593595503499
0.2997163924491763,0.2871050861774773,0.041743970671479,0.0156291760685007,0.1733357771747992,0.2709689277150662,0.0216764501228356
0.4153426380033322,0.3832717045857654,0.1009906449572283,0.0277032071620616,0.3208493586550022,0.3888510959588788,0.0811658281937255
0.5106405899262708,0.4689145010071562,0.1569448723709814,0.0703226138742497,0.4289791385292767,0.4902914061764475,0.1479727071594984
0.5938534978433357,0.4816913989993416,0.2455959876470546,0.1107308161847795,0.4564009468519657,0.5422663522996096,0.2073972951869625
0.5902528134561905,0.4944956625493668,0.3260712095916506,0.1497344672138995,0.4834873564149392,0.5906912507356216,0.230460091305256
0.5878209565465368,0.5077058755284112,0.4002800857377118,0.1276601418221716,0.511092747479929,0.637025679393655,0.2529369295234834
0.5870670516133414,0.4210148325080183,0.3632485544044473,0.105964367803233,0.4215227703669705,0.5825538477069694,0.2751422655279864
0.5023892942606528,0.3290817468607268,0.3266595815680297,0.0845656981296889,0.3286230726490534,0.5280499848364247,0.2167724629208397
0.4117343596006473,0.2298023691150384,0.2901130374345017,0.0572978181803255,0.2307547484557514,0.4727005502712481,0.1574233778048731
0.3131778879335938,0.1622726411161178,0.2103779890739692,0.029481222911024,0.1601802951809074,0.3679690842489482,0.0961837958919888
0.2282045244855289,0.0897140222776497,0.1274077137326715,0.0009763295681051,0.0842743488999927,0.2514959658496278,0.0658220374389267
0.133488364557876,0.0107971941941336,0.0399260843630013,0.0006571640654163,0.0018113819354983,0.1205781208478691,0.0341173454645122
0.0275280554575766,0.0070351743464871,0.0271642700932407,0.0002673296240551,0.0010686987249302,0.0831014262732118,0.0011659402807556
0.0186317826492222,0.0030901989448203,0.0136026728547402,0.0,0.0004184254722116,0.0426774035839453,0.000786246528702
0.0086806298885118,7.513505722816014e-21,1.209643755559615e-19,0.0,6.6184054355827655e-22,2.8644566612193506e-19,0.0003743423206381
1.0805214290952836e-19,0.0,0.0,0.0,0.0,0.0,1.0725681060732933e-05
0.0,0.0,0.0,0.0,0.0,0.0,6.582371401402477e-06
0.0,0.0,0.0,0.0,0.0,0.0,3.191536919728406e-06
