Australia,Brazil,China,Germany,India,South Africa,United States
47527.66087618428,155850.384123189,1329086.5274481543,97820.4257451241,685678.278363012,91924.40998350676,869911.4722561302
45288.92400477183,157598.27259827647,1283256.4406621458,96126.30787527168,667870.437621731,88779.42604033541,850402.8961959418
43299.38170766104,156490.25615998195,1240005.612119056,93823.49079928758,652224.7315963968,86582.17486588363,838975.9398090768
42481.74010841306,153833.38464183686,1207902.7984657632,91485.309900782,648315.7209707082,85673.80754661138,835523.4523689625
42316.07451125296,151197.7507093355,1191076.4180212368,91525.826732071,661705.4805020565,85716.61408331424,837523.2358770884
41723.95894242663,143472.05156861784,1199790.936426875,91250.05375223768,714991.7194228843,85146.21678600166,850030.1971921285
40261.44780538545,136786.2805861562,1261799.9426190215,89485.88114270751,772229.39177239,85492.1069439309,872442.0487599253
38971.83121283265,137860.494248542,1371159.2965687937,90738.4742769656,832613.634953553,89519.74816674425,890706.2448172779
37558.882665964346,140594.9387108974,1381483.738295269,92327.84442893544,886203.508983119,95062.87298847098,899297.761077926
36952.27351611274,143570.71101056054,1423724.1791388416,96736.0077915161,936119.9447826648,100146.66969917438,899906.3826836346
36754.28408169429,146601.20628412176,1476879.4112769235,100777.04868225756,958080.0668231988,102659.90276752372,896501.3038479794
37676.02780468917,148472.13888641345,1524533.6778247622,104455.68312981172,950394.055360682,103557.48882177765,888370.2312940034
39189.9969719225,147682.29972958157,1481948.711447095,106521.97094413436,934427.4279624342,102895.13233984992,876353.6582700638
40410.81247379756,146807.07547545584,1438786.1564316931,105411.42891029308,909996.127964618,100388.09359251498,863056.2054299136
43140.7580480187,147028.29030541223,1459069.4564381896,101765.29711265788,881926.134240314,97619.15106565984,855333.7878898513
47430.0388291921,147488.47619561444,1480154.374196092,101947.45919556024,862657.7994128797,96171.11292792196,857072.3294696023
52693.18286293901,149415.95074892262,1514681.9699102931,107881.59933783129,838651.2776855954,96651.6414276597,881432.3744977381
58824.353958368665,152879.65046536725,1596057.0867212652,116453.32064877878,821941.7203480053,99022.16368902728,935536.5709669964
61631.156335260246,162440.21047679125,1653830.100945378,118388.15405339192,828100.0989338707,100375.13752340828,963143.3026285406
61139.00236506715,175899.65193531077,1675280.1909035488,115837.79702725486,808057.782566704,103803.2597959647,959031.0311965338
58995.01365613088,180124.19273865363,1625387.7691525782,111651.59813330352,761588.405908272,100972.51893840736,946659.5374746744
55986.53872833096,180859.43558875227,1584804.194091369,108801.3187917588,724173.1535661526,94248.09442857208,923037.2953488646
52756.32808610228,178991.04125161216,1523489.8656383194,106958.4551488778,692385.4373836706,88625.80253080669,887639.1760504472
50472.72176219349,172573.03353906045,1426155.680464831,101410.38245292856,663682.5945843982,84570.51050091634,854153.6188541082
48860.74832422941,165899.0503242126,1322303.7185508972,98698.6387018714,644526.7969,81427.34035083187,806781.8318145403
46207.24787352491,159676.51540621973,1270446.8183987448,95918.44229860618,629224.9801,80245.83763554672,793290.4377334232
44525.1398342945,155498.74850695042,1222774.7337598407,94668.43630409765,619080.433,79549.16596762168,787976.0111320657
44108.43420671613,152563.61593506677,1186171.3948371173,94838.02011644925,616227.2792,80131.00001407246,788667.1314033266
44404.70042837571,151590.54373787213,1165673.8904343909,97144.29438755328,633006.6863,81074.26632784327,799748.0596327464
44711.266563884,149351.9239559325,1172423.0119491357,102101.4072647047,692113.214,82470.60187044986,837723.1715783986
44069.21986730908,150153.35145129843,1234302.8948620737,111469.0065928059,767551.6168,85434.99143942048,898980.8095870384
43037.08640236096,160844.32284944906,1345937.37641366,121830.90110520968,853287.3202,89934.42612755198,946815.3961787636
41977.41740162132,173107.97504940516,1353384.5482095322,128849.12940724751,906705.1436,95810.39677599128,962431.2700555274
41157.01552960304,180054.54306797677,1397328.6213118576,132741.2721137005,961162.8685,101161.41023961936,957747.816600735
40282.034735158006,185099.07180078988,1457033.8562030443,134395.73487291142,989583.735,103759.87941370605,948275.0929317204
39897.42570036003,187075.8707696692,1510902.705653143,135456.85211831843,982899.7626,102940.9882595754,937102.8843742104
41069.61013178113,186660.99965960527,1467675.4967059272,135309.98478210752,977451.1517,102215.32857177415,926968.6035032488
43072.43824100866,190905.89268968863,1425356.8575629347,133022.31813575732,956157.3628,101060.29895849754,922109.4760759808
44947.16522787836,193200.4211370344,1448597.9502047056,130655.2370736897,940773.3101,100800.48432006645,918094.6275748888
49380.531771244445,192848.3909118497,1470474.0495669772,130702.06896189856,932777.6254,101177.67967579502,919994.2711351851
54310.86114159129,191354.50733516776,1506106.167852741,134698.64992021082,915315.8009,102191.48746096969,939099.1640168222
56816.28279786005,185455.1358119644,1590022.4041523885,141162.5618825103,898800.5486,104346.49155216382,979959.3355126312
57416.63997575578,184889.6316477525,1651732.1851520045,141670.69842196046,898052.7695,106194.29168640276,994722.022644272
57154.058669662605,191770.74637300931,1675679.9278248586,138874.074218921,877003.2926,109755.54307930292,980930.1036746292
55776.09496232936,193292.7222563001,1621646.2874318012,131421.49184869396,836128.5551,106106.835597174,958812.2576529952
53235.26233000462,193896.40731350597,1579822.746579262,125683.17204241724,795039.4,98960.26901245736,925406.9399130046
51082.24658872216,189184.3061251452,1516330.8730975003,121954.56072833916,752711.3939,90807.24272746094,880755.0187862234
49429.44115053315,180352.848687024,1413592.2328259086,115020.0024560496,719100.9674,86531.76209706349,838305.5520655155
47625.86488715676,172286.01307931397,1371999.186089492,111185.28940882032,693917.196,84487.4744863672,807864.9864358157
45225.83252584075,164171.19059204808,1311084.1535729803,108355.21054668016,673878.8198,83166.93878568315,786513.9792877614
43563.93787607343,158990.6179969694,1254072.9920830317,106790.69383921554,658205.5091,82304.29585875363,776854.2452052664
43354.19170459362,156061.8421934264,1210979.1455402172,106671.73260446783,658227.3311,82079.81771339348,774271.131712459
44560.82022346152,155409.21615745057,1185606.7943463938,108592.27003749053,676641.0923,82474.36303021143,781830.4633956542
46407.66140942971,152583.41446851144,1191413.7007892055,113153.45502252274,730818.4131,83571.7394353763,813677.761420796
47546.931014615846,152670.4624548332,1258288.1844292234,121496.25383771276,804288.4141,87163.05402184362,869715.7118558016
47424.86664110838,162515.8361410144,1379420.0613809223,130139.443966489,887895.098,93751.41198413132,913488.9496122764
46270.21546441598,174718.33074314543,1389894.663283402,136498.9066769991,935242.2029,100822.6877398043,933160.1316885244
43617.141931684666,181599.48419738372,1441792.7431388446,140221.39898699598,978322.5191,105598.17536090496,939021.7978418776
41872.27508719333,185925.09308911316,1512653.509429681,141943.4467224322,1006284.5,107377.80443188232,939592.5161803252
42027.30115282202,184083.90457138536,1575260.121412507,143884.6404113371,999687.8152,106622.39884711674,935059.6000213078
43489.596331042754,187813.29121548616,1527314.4382771172,143232.27190855268,990480.2054,106244.7144412629,927755.7998258248
45406.631754947055,190316.0571773165,1480968.2542175609,139851.33089775676,965090.9744,103798.35658621328,922184.336970808
46981.36034735884,189853.75678788623,1506894.1897188686,137271.6581746709,955110.1179,101204.8415988713,917006.6018408572
50819.65213024174,186998.9359193516,1531359.6371900027,136116.77801747795,941265.736,100794.36787420564,914598.6869253932
56337.37615690721,181277.21833542452,1571179.006024256,138168.08525010076,921208.4024,102285.6819293828,927953.0255246612
60088.01041522098,180920.7264537303,1664679.5965655346,142799.28518995107,907739.1079,104169.3698287954,958526.9323138522
61069.553799615016,190404.9853721069,1731875.10048372,142584.28294836116,913106.5245,106499.4440003894,968795.1579464524
60755.718714951785,192142.75671584776,1760433.5954640035,138740.76586299136,901342.883,112729.2479406268,954418.8162456196
59166.84034256874,192066.14087229624,1700493.7360719352,131345.53749771934,856101.7779,111506.44456586664,935378.6147040658
56009.389218585246,186642.9114388212,1653661.4922796492,124685.08337877372,812725.1208,102875.13452052472,909266.5251462774
53478.28704263001,178194.8875256111,1581994.707601118,121536.2787704392,770984.7968,95758.79916817349,873771.8994945402
51634.75523241662,169243.0282131942,1464974.00937162,115540.51575866363,734066.341,90432.582284988,836982.2543923678
48703.09713963716,161111.00486016882,1470377.4079312205,108620.61931730722,704913.9967,84160.99614422697,797457.1588606023
46187.05084195123,155903.85454999257,1406022.8795540242,104257.14284962331,685245.7602,82950.70119440184,777831.8762340383
44588.61017162488,152776.28083213334,1345941.9618076778,102408.84731547468,669275.7441,83230.34624273052,767776.4058949326
44145.03790513215,151796.7372866894,1294836.8776840975,101694.77337580617,663783.4372,84010.05949911187,762756.1348271109
45255.41434324357,147540.827990071,1256692.101000141,103414.8204935666,681772.1132,87293.2900830355,767854.4040485116
47191.21482305168,144671.1596322724,1240880.2228896513,104728.3150372583,736417.1214,92059.6862103108,783038.2558660711
48823.31889030189,150397.0457946128,1269008.5687320868,106007.1523263598,812222.3307,96393.4473515996,809782.8142740249
48877.389492136936,157935.98369076304,1320727.521868747,112048.26516994728,891264.1143,101700.19841500568,838894.4432291187
47582.944150928255,163745.63505568326,1420832.1016806462,118565.5374643923,937275.6017,108123.40896432142,865742.882546771
45865.26596245452,167188.20067097383,1586932.8035806771,125395.35743922569,982822.3182,111686.6399578779,884184.5715355617
44813.79842596896,168031.14258157762,1694619.632697185,130601.27239842631,997437.1865,111884.17646398363,890999.3942707772
44909.16452873546,167420.51722781634,1773564.3019673417,133273.43163884946,989800.4962,110529.28271466248,886360.3357985748
45302.37953921125,167375.98908622036,1746065.347956638,134226.37300764158,979841.2533,109521.52496357412,875925.281203348
48030.38025491598,168258.97681062814,1767830.535987305,131072.96739303475,959342.3769,108718.31947919782,865411.1374787019
49931.140737514615,168832.1620962324,1804126.6649729768,128340.4618362644,942081.9496,108460.65008242636,856773.000057862
53030.071734837584,168927.69593913032,1811708.416863209,127498.22824430316,929430.1186,109700.07396681924,856869.2247721086
56610.80841448536,170221.75034667834,1803339.0555780784,130256.1798228674,912601.1825,110407.9267945118,875481.2327757446
58971.03251153968,179555.84713566443,1787599.3602100727,136031.56383632164,899049.5479,111442.11455695324,916690.6468991104
59301.43520991027,190320.1504637877,1703916.014916719,136102.37884505265,912514.8842,111506.0887299928,939152.7151075142
