Australia,Brazil,China,Germany,India,South Africa,United States
31206.11592,178555.6199,1618707.773,78622.78812,1132914.091,101654.7428,646385.5271
31006.64846,180400.8275,1643186.719,76358.17467,1118318.647,107242.4702,636540.1705
30167.45309,180519.8424,1592405.201,71865.89385,1062186.877,105905.5729,623058.4916
28543.6836,175541.2707,1551446.146,67905.09158,1008368.374,97696.66327,605034.1941
27235.49054,167679.1982,1489168.646,66016.29857,956580.1104,90901.66233,580451.4301
26272.01366,159339.0737,1388750.066,62349.24798,910774.4593,85768.67907,554670.0163
24967.91408,152289.8717,1396364.002,59101.02066,874604.417,82337.76488,532208.9044
23652.08405,147434.5523,1341933.456,56418.49245,850201.5444,80797.10684,518361.0873
22808.09282,144536.5261,1289605.644,55314.0467,830387.1461,80729.90735,511398.8944
22548.49631,143672.8691,1245882.586,54847.07239,823572.7037,81165.81856,507787.631
23078.71232,139673.723,1213486.957,55828.86923,845891.7037,84006.74127,511166.4037
24031.21082,136978.3723,1202443.63,56476.33427,913691.1314,88289.08226,521203.8784
24844.15709,142436.4977,1231717.143,57005.08729,1007744.55,92269.39652,538899.6261
24889.59446,149574.7061,1279570.916,60468.63157,1105813.666,97342.94903,558563.8882
24293.47626,155003.2342,1368548.136,64268.6275,1162901.269,103727.1458,576842.951
23514.64226,158125.3217,1512701.857,68371.76306,1219412.219,107684.9171,589707.903
23087.92531,158741.4807,1601879.634,71705.69319,1237545.251,108654.4208,595208.3277
23241.23691,157966.3627,1663285.633,73663.23015,1228070.219,108217.2999,593242.5976
23536.97296,157742.7152,1631578.037,74610.5036,1215713.537,108048.0074,587317.564
24984.44139,158437.8097,1643634.166,73072.39559,1190280.068,107914.8437,581204.5888
25995.99875,158876.5637,1670279.135,71690.85419,1168864.625,108126.1776,576068.91
27586.24677,158902.3477,1675586.746,71253.25504,1153167.182,109553.2745,576352.9106
29393.48133,160113.9056,1671344.052,72745.93754,1132287.1,110293.498,588708.332
30550.47749,169043.787,1663485.926,75897.86276,1115473.248,111042.0579,616214.6322
30668.99045,179371.1059,1593648.712,75785.51031,1132180.028,110733.166,631216.55
30555.87601,178737.5099,1563405.796,73042.41475,1117048.899,113866.1483,622780.0595
29850.81424,173472.6352,1610895.553,68521.9701,1064618.137,110753.9188,613888.3326
28291.25947,167220.3457,1625687.738,65361.86829,1010385.237,102986.2994,604516.3105
27025.93421,159958.9694,1586970.587,63473.98379,960630.0566,95970.98391,585592.6775
26126.13477,152888.9717,1497122.069,59938.36436,911275.3797,91247.54403,562069.3475
24929.12116,146215.0152,1410662.939,56310.68255,870175.485,88223.04574,550872.2034
23629.83216,141353.9413,1356584.919,53652.07844,844630.8732,86602.08083,540712.2186
22782.89736,138045.443,1304513.118,52916.4879,827495.9982,86098.99988,536077.7174
22492.49098,136043.008,1261014.571,51732.69892,824248.4809,86498.56124,535445.6767
