Australia,Brazil,China,India,South Africa,United States
23179.06361,55685.319,829733.43,192811.82,52184.17,425352
22644.41772,56106.055,861240.3223,193179.69,52053.087,418246
22167.23618,56177.558,845173.5552,190612.29,52028.549,413011
22555.58056,56433.169,851792.325,187330.77,51381.172,407829
23104.39894,56867.45,865537.8495,184196.48,51298.928,404345
24800.46718,57503.668,868128.2624,181887.87,51682.272,405169
26751.34468,59309.292,865856.7735,177755.77,51934.098,417471
28079.37846,63285.085,861669.5146,174824.91,52019.605,444285
28663.45904,66921.66,825632.3722,174755.04,51991.962,461161
28804.4837,67883.327,810247.4744,171552.99,53432.391,461624
28146.82101,67288.842,834956.0125,164565.89,51817.956,456764
26899.62094,66050.806,842856.0948,157030.08,48349.923,445041
25797.92267,63533.863,823201.3172,150129.52,45050.523,425667
25235.26713,59983.348,777594.7714,142888.78,42705.704,408392
24116.30851,57743.514,727002.8291,136327.66,41531.143,397853
22848.66788,55949.921,699383.1286,131412.26,40448.177,392774
21906.57257,54946.683,672925.4609,128482.44,40192.795,391082
21656.81593,54802.422,650898.2039,127682.78,40347.041,394260
22360.73042,54344.149,634387.3977,131459.56,41296.924,405433
23245.74671,55670.54,628564.6232,141933.7,43380.642,432104
23835.75502,60841.953,642934.9003,155104.96,45029.998,472748
23359.6993,66831.429,666853.1289,170419.55,47356.948,498214
22648.65187,70524.265,710804.4199,180374.59,50212.379,497475
21910.66452,72710.027,783141.5643,186300.14,51145.449,482809
21137.04231,73338.374,827989.0686,190193.47,51008.75,467701
20872.43676,72851.18,859425.203,190892.67,51236.457,455027
20703.89347,75758.217,843877.0716,190055.18,51049.662,446348
20811.59149,77129.844,849876.3742,187435.05,50922.925,440045
21916.54833,77040.474,863229.5687,184297.03,51075.312,435209
23632.68289,76199.771,865913.3033,180646.8,51587.33,434983
25766.71462,72167.702,863755.8576,177275.05,52085.568,442512
27623.85411,69894.975,860525.2717,174277.2,52214.372,466556
28687.46751,73778.076,825628.7172,175054.29,51848.087,482949
28915.38376,75292.727,810090.7711,171272,52556.284,482322
28200.88224,76061.86,834691.7608,164878.01,50972.547,474680
27198.04235,74629.468,842866.438,158779.27,47626.464,459521
26168.22112,70886.248,823320.3971,151654.39,44441.074,437141
25524.75535,66796.142,778252.5556,144219.86,42508.409,417263
24394.44613,63585.444,722868.4217,137793.57,40061.361,403941
23005.05984,61923.33,695623.7747,132859.21,39501.881,396995
22130.41322,60716.241,669392.8863,130276.21,39522.915,394759
21801.45629,60320.385,647525.0304,128966.27,39739.994,396691
21839.88262,59216.305,631244.6744,132019.96,41058.48,405592
22072.87638,60215.881,625545.2621,141566.78,43307.476,429660
22037.33754,65554.955,639978.1386,154131.6,45075.676,468510
21486.56771,71526.703,663568.5119,169462.75,47261.56,492480
20730.80511,74884.468,706972.5163,179437.37,49876.255,490401
19921.84839,77015.83,778135.9762,184682.52,50967.637,477336
19109.53081,77227.093,822512.0915,190348.83,51538.339,464475
18664.76685,75933.776,853690.7035,191272.3,51381.356,454923
18914.89793,78866.393,838517.0397,190136.4,50985.016,448076
19462.51577,80473.006,844872.2129,186367.47,50756.816,444140
20774.36278,80434.553,857905.3383,182764.72,50759.311,440679
23041.16271,79155.494,860348.1751,179982.77,51302.015,440801
25995.77116,74350.781,858104.9976,176046.17,52540.595,450574
28475.16542,72345.208,854360.1578,174541.08,53099.023,474167
29818.06514,75583.468,819552.3383,174779.32,53466.041,490511
29834.69294,76471.814,804458.589,171319.47,54690.908,490748
28686.55679,76975.317,829264.4894,164658.13,53317.527,484425
27340.32376,75474.511,837129.2268,159384.26,48915.594,470349
26277.17682,71875.163,817802.1004,151896.04,45215.372,449678
25296.76605,67784.47,773221.5664,143926.26,42852.594,430150
24148.45057,64918.959,701803.9102,137835.5,40901.218,418152
22902.25381,63014.439,677666.6397,133402.95,40352.51,412967
