AUS,BRA,CHN,DEU,IND,ZAF,USA
0.0,4.737458718234507e-07,0.0,0.0,0.0,0.0,0.0
0.0014054347394894,9.613544166053334e-07,0.0,0.0,0.0,0.0,0.0
0.002975198833476,1.3435559275470652e-06,0.0,0.0,0.0,0.0,0.0
0.0047450104289338,0.0382539489698217,2.247479199371592e-05,0.0,0.0046867754722528,0.016632910221696,0.0
0.0737857648298286,0.0812811556066373,4.833896058506571e-05,0.0,0.0099560173489173,0.0349424124428556,0.0024665544669639
0.156607639709816,0.1480005311444272,7.897826127949664e-05,0.0012730558412328,0.0160396297526609,0.0680286918974948,0.0051420204863584
0.2437514993660443,0.2880189014976713,0.0321054354546319,0.0025929959250838,0.1175400828570467,0.2139305249164714,0.0088243418643992
0.3760602059337902,0.4089372297707838,0.0806799122867177,0.005637789407888,0.2401518599444205,0.3347613827613299,0.0597884062072051
0.4880941385988839,0.5169883699034774,0.1276713449131107,0.0345190644519887,0.3336233051407667,0.4406981429183216,0.1144374010823459
0.586201478489734,0.5495529303389096,0.2211487891185987,0.0620894163506049,0.3832181267253403,0.5080533743414982,0.1646628739468126
0.6044677256870903,0.5822818784330336,0.3083206320187771,0.0888167434536176,0.4309883972706972,0.5715213928091964,0.1921241736613204
0.6237871905158412,0.6160845927232929,0.3889190200351508,0.0846144225638103,0.4780247654030045,0.6322804882990923,0.2190232928861977
0.6448454679313042,0.5343648838114765,0.3661801269892613,0.0807393276067381,0.4077462703293646,0.5873340990913095,0.2457918063542307
0.5724187019050203,0.4497382401810176,0.344153334977936,0.0771667571036968,0.3369707840413402,0.5439186973534946,0.1996293126646512
0.4964198917787694,0.3605533366316225,0.322663990263406,0.0527567647337105,0.2644888139344176,0.5010543350965566,0.1528931124480659
0.4153617676900965,0.2598208963425573,0.2383415239325521,0.0279959313973098,0.1854489570336028,0.3981304719187187,0.1048498799932108
0.3074562311681975,0.1499673213138535,0.149941858858284,0.0026172718121727,0.1001120299355044,0.2853541839454602,0.0721704870248325
0.1876695861196439,0.0290910817544777,0.0561420025733596,0.0017524379705594,0.0071029214967623,0.1601733044302491,0.0379660729446525
0.053955566294056,0.0183991984041935,0.0379337234487933,0.0007174553905131,0.0040919114907529,0.1105834650285468,0.0025589185998033
0.0356297038145897,0.0083475795418315,0.0185340355351902,0.0,0.00176751791579,0.0567479107354194,0.0016943170461887
0.0162810562689791,3.0977606812207407e-20,7.279030785241669e-20,0.0,1.4358051462680036e-20,5.23614332902417e-07,0.0007121890646
3.2706608225510604e-20,0.0,0.0,0.0,0.0,2.757302895135835e-07,1.2918726217294756e-05
0.0,0.0,0.0,0.0,0.0,1.353045020489363e-07,5.395789204916368e-06
0.0,0.0,0.0,0.0,0.0,0.0,2.502791542639282e-06
0.0,2.108836979252507e-07,0.0,0.0,0.0,0.0,0.0
0.0015988942629707,4.179643398105737e-07,0.0,0.0,0.0,0.0,0.0
0.00338175355239,6.275477326758499e-07,0.0,0.0,0.0,0.0,0.0
0.0053902751724076,0.0395537684374555,2.2001846425480945e-05,0.0,0.0043271808673569,0.0168074533870869,0.0
0.0800699076140999,0.0825099258278738,4.731526771595071e-05,0.0,0.0091531575722765,0.0346759880763048,0.0026199514539625
0.1684195522901128,0.1445237289245694,7.646917570649036e-05,0.0025667576719115,0.0145697574779298,0.0642564399565211,0.0053907295220055
0.2620090857694875,0.2840130372237912,0.0284941399512556,0.0051680160316028,0.1109948116849263,0.20457342338775,0.0093469086839092
0.3931361454382712,0.4049418259409063,0.0698729211726904,0.0087380097616857,0.2277481591906117,0.3216884061086986,0.0542863610325733
0.5026702005116631,0.5131194953451736,0.1102586487507331,0.0481031571980624,0.3173716254684922,0.4251138441122585,0.1082007721923706
0.5978982513296579,0.5483654918255938,0.1966236937435832,0.0861154130061907,0.3704852412760431,0.4849761953522223,0.1567119594979806
0.6086810301564143,0.5837695284506977,0.2772673253948838,0.1230975412223704,0.4216214722060978,0.5416730342340013,0.1856194425686457
0.6210875541534673,0.620327517214199,0.3526919450975655,0.1205030620373039,0.4718374859353227,0.5965389074863102,0.2133888626156185
0.6357319983680823,0.5398248469575511,0.3332951440886939,0.1183689043587488,0.4030968646188968,0.5542547156863139,0.2405414413290471
0.5651409228696093,0.4566523669698378,0.3145692437454769,0.1166854073075257,0.3339180714201686,0.5129588502534808,0.198384545961621
0.4908613255375821,0.3690965399364336,0.2963630310369288,0.0800245437123467,0.2631369603326281,0.4715606074855162,0.1562310166051098
0.4113768984406014,0.2663374129108124,0.2189075146402056,0.0425025371342741,0.1842821191587528,0.3713849489888252,0.1132803773305035
0.3057453717910673,0.1547096915242915,0.1382101049918469,0.0038206510361081,0.0992820104126288,0.2626261899745926,0.0781359593688709
0.1874591957272163,0.0323115160608426,0.0530784544590058,0.0025635553852981,0.0067705803847598,0.1422598970815505,0.0411867702216335
0.0544364663686003,0.0209933945890888,0.0358834996872866,0.0011311755617627,0.0038772471274952,0.0980654028566505,0.0026321374830611
0.0360942315532502,0.0092474919644358,0.0177873540201835,1.2211237026816278e-22,0.0016293324114286,0.0501318237893553,0.0017304674863292
0.0165262503058399,1.9096052090283143e-20,6.906096536541945e-21,0.0,6.436794242733881e-23,5.857689657026325e-07,0.0007134604827853
3.0704351257091424e-20,0.0,0.0,0.0,0.0,2.732355202210034e-07,1.0870878105451778e-05
0.0,0.0,0.0,0.0,0.0,1.2772401929221125e-07,4.104230492082398e-06
0.0,0.0,0.0,0.0,0.0,0.0,1.8027747056607267e-06
0.0,3.1479628356071734e-07,0.0,0.0,0.0,0.0,0.0
